Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538957003009,7185437371898,-0.44547364,3.9901028,-8.727451
android.sensor.accelerometer,1538957003033,7185457312073,-0.41194338,3.788921,-9.043594
android.sensor.accelerometer,1538957003038,7185477249993,-0.3784131,3.7362306,-9.513018
android.sensor.accelerometer,1538957003058,7185497188041,-0.37362307,3.6979103,-9.5561285
android.sensor.accelerometer,1538957003078,7185517125961,-0.32093263,3.7027004,-9.498648
android.sensor.accelerometer,1538957003098,7185537064009,-0.26345217,3.7027004,-9.239985
android.sensor.accelerometer,1538957003118,7185557000618,-0.2203418,3.788921,-9.029224
android.sensor.accelerometer,1538957003139,7185576938410,-0.23471193,3.9853127,-8.799302
android.sensor.accelerometer,1538957003159,7185596876330,-0.16765137,4.167334,-8.315508
android.sensor.accelerometer,1538957003178,7185616814250,-0.05748047,4.277505,-7.8844047
android.sensor.accelerometer,1538957003199,7185636752170,-0.12933107,4.4499464,-7.9227247
android.sensor.accelerometer,1538957003218,7185656690096,-0.23950197,4.631968,-8.109536
android.sensor.accelerometer,1538957003238,7185676627888,-0.15328126,4.608018,-7.965835
android.sensor.accelerometer,1538957003259,7185696565808,0.043110352,4.4738965,-7.965835
android.sensor.accelerometer,1538957003278,7185716503728,0.100590825,4.3541455,-8.210127
android.sensor.accelerometer,1538957003299,7185736441520,-0.009580079,4.311035,-8.435259
android.sensor.accelerometer,1538957003318,7185756387381,-0.12454102,4.0763235,-8.54064
android.sensor.accelerometer,1538957003338,7185776325429,-0.081430666,3.779341,-8.899893
android.sensor.accelerometer,1538957003358,7185796263477,-0.100590825,3.544629,-9.316627
android.sensor.accelerometer,1538957003378,7185816206115,-0.22992188,3.415298,-9.74773
android.sensor.accelerometer,1538957003398,7185836144035,-0.19160157,3.396138,-9.901011
android.sensor.accelerometer,1538957003418,7185856086587,-0.18681154,3.271597,-9.5561285
android.sensor.accelerometer,1538957003438,7185876024763,-0.20597169,3.2380664,-9.340576
android.sensor.accelerometer,1538957003460,7185895962939,-0.2778223,3.2380664,-8.8951025
android.sensor.accelerometer,1538957003478,7185915901115,-0.26345217,3.295547,-8.459209
android.sensor.accelerometer,1538957003498,7185935839291,-0.21076173,3.415298,-8.210127
android.sensor.accelerometer,1538957003518,7185955775943,-0.19639161,3.5015187,-8.061636
android.sensor.accelerometer,1538957003538,7185975714119,-0.25866213,3.6979103,-8.339458
android.sensor.accelerometer,1538957003557,7185995652167,-0.3305127,3.7985013,-8.464
android.sensor.accelerometer,1538957003577,7186015590215,-0.3784131,3.4967287,-8.0999565
android.sensor.accelerometer,1538957003597,7186035528391,-0.2203418,2.912344,-8.095166
android.sensor.accelerometer,1538957003617,7186055470821,-0.1101709,2.2273684,-8.49753
android.sensor.accelerometer,1538957003637,7186075408997,-0.13891114,1.1687696,-9.273516
android.sensor.accelerometer,1538957003657,7186095347173,-0.244292,-0.019160157,-10.595567
android.sensor.accelerometer,1538957003678,7186115285349,-0.043110352,-1.4801221,-11.740386
android.sensor.accelerometer,1538957003697,7186135223525,0.79035646,-3.1422658,-12.473262
android.sensor.accelerometer,1538957003718,7186155168887,2.0357666,-4.7708793,-12.679234
android.sensor.accelerometer,1538957003737,7186175107319,3.1278956,-6.337222,-12.545113
android.sensor.accelerometer,1538957003757,7186195045623,3.6452198,-7.673643,-11.7930765
android.sensor.accelerometer,1538957003777,7186214983927,3.8080812,-8.49753,-11.381133
android.sensor.accelerometer,1538957003798,7186234922359,4.0859036,-9.263936,-11.328443
android.sensor.accelerometer,1538957003817,7186254869792,4.737349,-10.269844,-10.935659
android.sensor.accelerometer,1538957003837,7186274808352,5.4989653,-11.908037,-10.174044
android.sensor.accelerometer,1538957003857,7186294746912,6.4042826,-13.110337,-11.270963
android.sensor.accelerometer,1538957003877,7186314685600,6.7970657,-13.766573,-13.158237
android.sensor.accelerometer,1538957003897,7186334624160,6.595884,-14.221626,-13.479171
android.sensor.accelerometer,1538957003917,7186354564829,6.9024467,-15.093413,-13.091177
android.sensor.accelerometer,1538957003936,7186374503517,8.076006,-16.755558,-13.321099
android.sensor.accelerometer,1538957003956,7186394442205,8.943004,-18.705103,-14.70063
android.sensor.accelerometer,1538957003978,7186414380893,8.631651,-21.339624,-16.276554
