Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1539034666777,84849207700531,5.015171,8.502319,3.3530276
android.sensor.accelerometer,1539034666792,84849227642291,4.9624805,8.62207,3.2859669
android.sensor.accelerometer,1539034666807,84849247584179,4.521797,8.689131,2.5530908
android.sensor.accelerometer,1539034666827,84849267525939,3.9853127,8.698711,1.8106349
android.sensor.accelerometer,1539034666847,84849287467699,3.9565725,8.737032,1.6860938
android.sensor.accelerometer,1539034666867,84849307404802,4.378096,8.698711,1.8010547
android.sensor.accelerometer,1539034666887,84849327346434,4.90979,8.737032,1.9974464
android.sensor.accelerometer,1539034666907,84849347288194,5.2355127,8.775352,2.2704787
android.sensor.accelerometer,1539034666927,84849367229826,5.369634,8.770562,2.42855
android.sensor.accelerometer,1539034666947,84849387171586,5.733677,8.746612,2.42376
android.sensor.accelerometer,1539034666967,84849407108098,6.13604,8.689131,2.4045997
android.sensor.accelerometer,1539034666987,84849427049730,5.886958,8.54543,2.5004005
android.sensor.accelerometer,1539034667007,84849446991234,5.254673,8.387359,2.543511
android.sensor.accelerometer,1539034667027,84849466932738,4.8139896,8.387359,2.2225783
android.sensor.accelerometer,1539034667047,84849486874242,4.7469287,8.53106,1.6621436
android.sensor.accelerometer,1539034667066,84849506817355,4.88584,8.751402,1.1112891
android.sensor.accelerometer,1539034667086,84849526758987,5.254673,8.986114,0.62749517
android.sensor.accelerometer,1539034667106,84849546700491,6.0593996,9.321417,0.086220704
android.sensor.accelerometer,1539034667126,84849566641995,6.945557,9.70941,-0.67539555
android.sensor.accelerometer,1539034667146,84849586583627,6.720425,9.867481,-2.2177882
android.sensor.accelerometer,1539034667166,84849606521504,5.7145166,9.83874,-3.3338673
android.sensor.accelerometer,1539034667186,84849626463008,6.5288234,9.73815,-3.6979103
android.sensor.accelerometer,1539034667206,84849646404512,7.5059915,9.268726,-4.0571632
android.sensor.accelerometer,1539034667226,84849666346016,6.1743608,8.210127,-4.239185
android.sensor.accelerometer,1539034667246,84849686287392,4.277505,7.237749,-3.5829494
android.sensor.accelerometer,1539034667266,84849706224946,2.2369483,6.8018556,-2.0357666
android.sensor.accelerometer,1539034667287,84849726166322,1.695674,6.1216702,-1.9782863
android.sensor.accelerometer,1539034667307,84849746107698,2.069297,5.336104,-1.6813037
android.sensor.accelerometer,1539034667326,84849766049074,1.710044,4.5313773,-0.17244141
android.sensor.accelerometer,1539034667346,84849785990322,0.67539555,4.0859036,1.8058448
android.sensor.accelerometer,1539034667366,84849805927748,0.34009278,3.6308498,2.1124072
android.sensor.accelerometer,1539034667386,84849825868996,0.244292,3.319497,1.6860938
android.sensor.accelerometer,1539034667405,84849845810244,0.28261232,2.7638526,2.3375392
android.sensor.accelerometer,1539034667425,84849865751492,2.3902297,2.6584718,4.2439747
android.sensor.accelerometer,1539034667445,84849885691998,6.0689797,2.9889846,4.636758
android.sensor.accelerometer,1539034667466,84849905631265,8.48316,3.2093263,2.5770411
android.sensor.accelerometer,1539034667485,84849925572513,8.401729,3.0943654,1.4226416
android.sensor.accelerometer,1539034667505,84849945513633,6.7731156,2.4764502,3.0752053
android.sensor.accelerometer,1539034667525,84849965454753,4.790039,1.585503,6.365962
android.sensor.accelerometer,1539034667545,84849985395873,3.9613624,1.1591895,9.239985
android.sensor.accelerometer,1539034667565,84850005347012,4.742139,1.1352394,10.068663
android.sensor.accelerometer,1539034667585,84850025288388,5.6426663,0.9244776,8.56938
android.sensor.accelerometer,1539034667605,84850045229764,5.757627,0.6993457,6.945557
android.sensor.accelerometer,1539034667625,84850065171012,5.4989653,0.17723145,5.364844
android.sensor.accelerometer,1539034667645,84850085112388,6.1312504,-0.2682422,4.7708793
android.sensor.accelerometer,1539034667665,84850105054221,7.2808595,-0.42152345,5.096602
android.sensor.accelerometer,1539034667685,84850124995597,7.9897857,-0.79993653,5.1828227
android.sensor.accelerometer,1539034667705,84850144936973,8.641231,-1.9830762,6.552774
android.sensor.accelerometer,1539034667725,84850164878349,9.216036,-2.7638526,8.56938
android.sensor.accelerometer,1539034667744,84850184819725,10.121353,-2.3758595,9.350157
android.sensor.accelerometer,1539034667765,84850204767659,11.122471,-2.7734327,9.134604
android.sensor.accelerometer,1539034667784,84850224709163,11.457774,-4.617598,8.775352
android.sensor.accelerometer,1539034667805,84850244650667,10.523716,-5.225933,9.929751
android.sensor.accelerometer,1539034667824,84850264592171,10.87818,-4.9864306,10.188414
android.sensor.accelerometer,1539034667844,84850284533803,14.240787,-5.1684523,7.817344
android.sensor.accelerometer,1539034667864,84850304477745,15.85982,-5.029541,5.815108
android.sensor.accelerometer,1539034667884,84850324419377,14.67189,-4.90979,6.864126
android.sensor.accelerometer,1539034667904,84850344360881,13.986915,-4.8283596,8.842413
android.sensor.accelerometer,1539034667924,84850364302513,15.7113285,-4.8044095,8.377779
android.sensor.accelerometer,1539034667944,84850384244145,16.377144,-5.4271145,6.1073003
android.sensor.accelerometer,1539034667964,84850404183680,14.178516,-5.7959476,5.8007374
android.sensor.accelerometer,1539034667984,84850424125184,11.773916,-5.886958,8.459209
android.sensor.accelerometer,1539034668004,84850444066816,14.264737,-6.3228517,9.067544
android.sensor.accelerometer,1539034668024,84850464008320,16.00831,-6.327642,6.8018556
android.sensor.accelerometer,1539034668044,84850483949952,13.45522,-5.738467,6.3228517
android.sensor.accelerometer,1539034668065,84850503899976,14.6671,-6.696475,7.2616997
android.sensor.accelerometer,1539034668085,84850523841864,20.180435,-6.2893214,3.6548
android.sensor.accelerometer,1539034668105,84850543783624,22.858067,-4.9337406,-3.3434474
android.sensor.accelerometer,1539034668125,84850563725512,20.391197,-4.416416,-4.9720607
android.sensor.accelerometer,1539034668145,84850583667272,19.174528,-4.368516,-1.8920655
android.sensor.accelerometer,1539034668165,84850603612256,19.29428,-3.8703518,-1.1112891
android.sensor.accelerometer,1539034668185,84850623554144,17.818947,-3.7218604,-2.4141798
android.sensor.accelerometer,1539034668205,84850643496032,16.276554,-3.558999,-3.3530276
android.sensor.accelerometer,1539034668226,84850663437920,15.079043,-3.1231055,-4.033213
android.sensor.accelerometer,1539034668245,84850683379808,13.301939,-2.3710694,-4.8666797
android.sensor.accelerometer,1539034668265,84850703315369,11.223062,-2.0213966,-6.7779055
android.sensor.accelerometer,1539034668285,84850723257129,9.608819,-1.8010547,-7.30481
android.sensor.accelerometer,1539034668305,84850743198761,9.168135,-1.2981006,-5.489385
android.sensor.accelerometer,1539034668326,84850763140521,8.890313,-1.0394385,-3.5015187
android.sensor.accelerometer,1539034668345,84850783082281,8.392149,-0.6658155,-3.415298
android.sensor.accelerometer,1539034668365,84850803017732,7.6257424,-0.45505372,-4.4595265
android.sensor.accelerometer,1539034668385,84850822959364,6.701265,-0.1101709,-4.4738965
android.sensor.accelerometer,1539034668405,84850842900996,6.0019193,0.32572266,-2.931504
android.sensor.accelerometer,1539034668425,84850862842628,6.0402393,1.0059083,-1.6238233
android.sensor.accelerometer,1539034668445,84850882784260,6.1935205,1.3891114,-1.5232325
android.sensor.accelerometer,1539034668465,84850902726733,5.7863674,1.5519727,-1.2310401
android.sensor.accelerometer,1539034668484,84850922668365,5.149292,1.9878663,-0.19639161
android.sensor.accelerometer,1539034668504,84850942609997,4.488267,2.2848487,0.8095166
android.sensor.accelerometer,1539034668526,84850962551629,4.90979,2.6201515,1.5376027
android.sensor.accelerometer,1539034668545,84850982493261,5.6187162,3.290757,1.5328126
android.sensor.accelerometer,1539034668565,84851002434893,5.024751,3.903882,1.4034815
android.sensor.accelerometer,1539034668584,84851022374056,3.9901028,4.191284,1.3028907
android.sensor.accelerometer,1539034668604,84851042315688,3.544629,4.4499464,1.4705421
android.sensor.accelerometer,1539034668624,84851062257192,3.7027004,4.6654983,1.7339942
android.sensor.accelerometer,1539034668644,84851082198824,3.3578174,4.9864306,2.3710694
android.sensor.accelerometer,1539034668664,84851102140328,2.8979738,5.269043,3.396138
android.sensor.accelerometer,1539034668684,84851122077747,3.0416749,5.647456,4.488267
android.sensor.accelerometer,1539034668704,84851142019251,2.6776319,6.05461,5.5947657
android.sensor.accelerometer,1539034668724,84851161960755,2.4333398,6.471343,6.0258694
android.sensor.accelerometer,1539034668744,84851181902387,3.051255,7.0365677,6.1073003
android.sensor.accelerometer,1539034668764,84851201843891,3.65959,7.568262,6.3899126
android.sensor.accelerometer,1539034668784,84851221780500,4.129014,7.817344,6.2941117
android.sensor.accelerometer,1539034668804,84851241721876,4.4547367,7.917935,6.231841
android.sensor.accelerometer,1539034668824,84851261663380,3.9613624,8.128696,6.6677346
android.sensor.accelerometer,1539034668846,84851281604756,3.8847218,8.349038,6.744375
android.sensor.accelerometer,1539034668864,84851301546132,4.406836,8.48316,6.236631
android.sensor.accelerometer,1539034668883,84851321484905,4.751719,8.669971,5.1684523
android.sensor.accelerometer,1539034668903,84851341426281,4.521797,8.684341,4.1146436
android.sensor.accelerometer,1539034668923,84851361367529,4.1625443,8.727451,4.133804
android.sensor.accelerometer,1539034668943,84851381308905,4.287085,8.818462,4.536167
android.sensor.accelerometer,1539034668963,84851401250153,4.358936,8.775352,4.378096
android.sensor.accelerometer,1539034668983,84851421188737,4.703819,8.631651,3.4727786
android.sensor.accelerometer,1539034669003,84851441129857,4.996011,8.53585,2.5914114
android.sensor.accelerometer,1539034669023,84851461071105,5.216353,8.401729,2.2465284
android.sensor.accelerometer,1539034669043,84851481012353,5.2594633,8.234077,2.44771
android.sensor.accelerometer,1539034669063,84851500953601,4.8091993,7.9897857,3.396138
android.sensor.accelerometer,1539034669082,84851520898439,4.5888577,8.008945,3.9948928
